10/11/24 11:19:27: main.scss - `global/base/reset` file not found for @import: main.scss on line 13, at column 1
12/17/24 11:12:27: main.scss - parse error: failed at `padding: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/home/image-text.scss on line 316, at column 5
12/17/24 1:59:09: main.scss - Incompatible units rem and %.: pages/home/statistics.scss on line 211, at column 5
Call Stack:
#0 import pages/home/statistics.scss main.scss on line 64
12/17/24 1:59:12: main.scss - Incompatible units rem and %.: pages/home/statistics.scss on line 211, at column 5
Call Stack:
#0 import pages/home/statistics.scss main.scss on line 64
12/17/24 1:59:14: main.scss - Incompatible units rem and %.: pages/home/statistics.scss on line 211, at column 5
Call Stack:
#0 import pages/home/statistics.scss main.scss on line 64
12/17/24 2:44:59: main.scss - parse error: failed at `padding: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 74, at column 5
12/17/24 3:20:09: main.scss - parse error: failed at `padding: ` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/two-col-cta.scss on line 18, at column 5
